Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
7,11,2022,2,1,59,BEG,2.57,11,4.28,NF,26,12,12,4,0,0,0,0,0,12,0,0,11,0,0,2,3,622,8,9
7,11,2022,2,2,21,BEG,5.12,24,4.68,NF,14,25,12,3,0,0,0,0,0,26,0,0,24,0,0,2,1,920,15,16
7,11,2022,2,2,32,BEG,4.70,15,3.19,NF,18,19,11,6,0,0,0,0,0,24,0,0,19,0,0,4,4,961,13,14
7,11,2022,2,2,52,BEG,4.03,10,2.48,NF,19,18,11,5,1,0,0,0,0,17,0,0,16,0,0,3,3,1002,10,10
7,11,2022,2,3,24,BEG,2.74,7,2.55,NF,20,21,9,3,1,0,0,0,0,14,0,0,11,0,0,3,4,758,7,7
7,11,2022,2,3,33,BEG,1.55,6,3.87,NF,25,16,9,2,2,0,0,0,0,8,0,0,6,0,0,1,1,521,5,5
7,11,2022,2,4,22,BEG,4.60,22,4.78,NF,18,20,14,2,0,0,0,0,0,23,0,0,22,0,0,2,2,931,14,18
7,11,2022,2,4,54,BEG,4.87,14,2.87,NF,15,26,10,3,0,0,0,0,0,24,0,0,20,0,0,3,5,1024,12,12
7,11,2022,2,6,11,BEG,4.84,10,2.06,NF,23,12,12,6,1,0,0,0,0,22,0,0,19,0,0,4,3,824,10,10
7,11,2022,2,6,17,BEG,3.66,16,4.37,NF,17,19,12,6,0,0,0,0,0,17,0,0,16,0,0,3,2,776,14,14
7,11,2022,2,7,13,BEG,4.44,21,4.72,NF,19,14,15,6,0,0,0,0,0,24,0,0,21,0,0,1,1,731,15,19
7,11,2022,2,7,26,BEG,5.24,18,3.43,NF,21,17,11,2,3,0,0,0,0,19,0,0,18,0,0,1,2,1002,15,16
7,11,2022,2,7,32,BEG,2.93,13,4.43,NF,19,21,10,4,0,0,0,0,0,13,0,0,13,0,0,3,3,568,11,11
7,11,2022,2,8,58,BEG,3.14,15,4.77,NF,23,20,8,2,0,1,0,0,0,16,0,0,15,0,0,2,2,692,11,13
7,11,2022,2,9,4,BEG,3.27,8,2.44,NF,23,17,9,4,1,0,0,0,0,13,0,0,11,0,0,3,2,757,8,8
